name,confederation,offset
Pacific/Pago_Pago,OFC,-11
Pacific/Niue,OFC,-11
Pacific/Midway,OFC,-11
Pacific/Apia,OFC,-11
America/Adak,CONCACAF,-10
Pacific/Honolulu,CONCACAF,-10
Pacific/Rarotonga,OFC,-10
Pacific/Tahiti,OFC,-10
Pacific/Fakaofo,OFC,-10
Pacific/Johnston,OFC,-10
Pacific/Marquesas,OFC,-9.5
America/Anchorage,CONCACAF,-9
America/Juneau,CONCACAF,-9
America/Yakutat,CONCACAF,-9
America/Nome,CONCACAF,-9
Pacific/Gambier,OFC,-9
America/Vancouver,CONCACAF,-8
America/Whitehorse,CONCACAF,-8
America/Dawson,CONCACAF,-8
America/Tijuana,CONCACAF,-8
America/Santa_Isabel,CONCACAF,-8
America/Los_Angeles,CONCACAF,-8
America/Edmonton,CONCACAF,-7
America/Cambridge_Bay,CONCACAF,-7
America/Yellowknife,CONCACAF,-7
America/Inuvik,CONCACAF,-7
America/Dawson_Creek,CONCACAF,-7
America/Mazatlan,CONCACAF,-7
America/Chihuahua,CONCACAF,-7
America/Ojinaga,CONCACAF,-7
America/Hermosillo,CONCACAF,-7
America/Denver,CONCACAF,-7
America/Boise,CONCACAF,-7
America/Shiprock,CONCACAF,-7
America/Phoenix,CONCACAF,-7
America/Belize,CONCACAF,-6
America/Rankin_Inlet,CONCACAF,-6
America/Winnipeg,CONCACAF,-6
America/Rainy_River,CONCACAF,-6
America/Regina,CONCACAF,-6
America/Swift_Current,CONCACAF,-6
America/Costa_Rica,CONCACAF,-6
America/Guatemala,CONCACAF,-6
America/Tegucigalpa,CONCACAF,-6
America/Mexico_City,CONCACAF,-6
America/Cancun,CONCACAF,-6
America/Merida,CONCACAF,-6
America/Monterrey,CONCACAF,-6
America/Matamoros,CONCACAF,-6
America/Managua,CONCACAF,-6
America/El_Salvador,CONCACAF,-6
America/Chicago,CONCACAF,-6
America/Indiana/Tell_City,CONCACAF,-6
America/Indiana/Knox,CONCACAF,-6
America/Menominee,CONCACAF,-6
America/North_Dakota/Center,CONCACAF,-6
America/North_Dakota/New_Salem,CONCACAF,-6
Pacific/Easter,CONMEBOL,-6
Pacific/Galapagos,CONMEBOL,-6
America/Nassau,CONCACAF,-5
America/Montreal,CONCACAF,-5
America/Toronto,CONCACAF,-5
America/Nipigon,CONCACAF,-5
America/Thunder_Bay,CONCACAF,-5
America/Iqaluit,CONCACAF,-5
America/Pangnirtung,CONCACAF,-5
America/Resolute,CONCACAF,-5
America/Atikokan,CONCACAF,-5
America/Havana,CONCACAF,-5
America/Port-au-Prince,CONCACAF,-5
America/Jamaica,CONCACAF,-5
America/Cayman,CONCACAF,-5
America/Panama,CONCACAF,-5
America/Lima,CONCACAF,-5
America/Grand_Turk,CONCACAF,-5
America/New_York,CONCACAF,-5
America/Detroit,CONCACAF,-5
America/Kentucky/Louisville,CONCACAF,-5
America/Kentucky/Monticello,CONCACAF,-5
America/Indiana/Indianapolis,CONCACAF,-5
America/Indiana/Vincennes,CONCACAF,-5
America/Indiana/Winamac,CONCACAF,-5
America/Indiana/Marengo,CONCACAF,-5
America/Indiana/Petersburg,CONCACAF,-5
America/Indiana/Vevay,CONCACAF,-5
America/Bogota,CONMEBOL,-5
America/Guayaquil,CONMEBOL,-5
America/Caracas,CONMEBOL,-4.5
America/Antigua,CONCACAF,-4
America/Anguilla,CONCACAF,-4
America/Curacao,CONCACAF,-4
America/Aruba,CONCACAF,-4
America/Barbados,CONCACAF,-4
America/St_Barthelemy,CONCACAF,-4
Atlantic/Bermuda,CONCACAF,-4
America/Halifax,CONCACAF,-4
America/Glace_Bay,CONCACAF,-4
America/Moncton,CONCACAF,-4
America/Goose_Bay,CONCACAF,-4
America/Blanc-Sablon,CONCACAF,-4
America/Dominica,CONCACAF,-4
America/Santo_Domingo,CONCACAF,-4
America/Grenada,CONCACAF,-4
America/Guadeloupe,CONCACAF,-4
America/Guyana,CONCACAF,-4
America/St_Kitts,CONCACAF,-4
America/St_Lucia,CONCACAF,-4
America/Marigot,CONCACAF,-4
America/Martinique,CONCACAF,-4
America/Montserrat,CONCACAF,-4
America/Puerto_Rico,CONCACAF,-4
America/Port_of_Spain,CONCACAF,-4
America/St_Vincent,CONCACAF,-4
America/Tortola,CONCACAF,-4
America/St_Thomas,CONCACAF,-4
America/Argentina/San_Luis,CONMEBOL,-4
America/La_Paz,CONMEBOL,-4
America/Campo_Grande,CONMEBOL,-4
America/Cuiaba,CONMEBOL,-4
America/Porto_Velho,CONMEBOL,-4
America/Boa_Vista,CONMEBOL,-4
America/Manaus,CONMEBOL,-4
America/Eirunepe,CONMEBOL,-4
America/Rio_Branco,CONMEBOL,-4
America/Santiago,CONMEBOL,-4
America/Asuncion,CONMEBOL,-4
America/St_Johns,CONCACAF,-3.5
America/Cayenne,CONCACAF,-3
America/Miquelon,CONCACAF,-3
America/Paramaribo,CONCACAF,-3
America/Argentina/Buenos_Aires,CONMEBOL,-3
America/Argentina/Cordoba,CONMEBOL,-3
America/Argentina/Salta,CONMEBOL,-3
America/Argentina/Jujuy,CONMEBOL,-3
America/Argentina/Tucuman,CONMEBOL,-3
America/Argentina/Catamarca,CONMEBOL,-3
America/Argentina/La_Rioja,CONMEBOL,-3
America/Argentina/San_Juan,CONMEBOL,-3
America/Argentina/Mendoza,CONMEBOL,-3
America/Argentina/Rio_Gallegos,CONMEBOL,-3
America/Argentina/Ushuaia,CONMEBOL,-3
America/Belem,CONMEBOL,-3
America/Fortaleza,CONMEBOL,-3
America/Recife,CONMEBOL,-3
America/Araguaina,CONMEBOL,-3
America/Maceio,CONMEBOL,-3
America/Bahia,CONMEBOL,-3
America/Sao_Paulo,CONMEBOL,-3
America/Santarem,CONMEBOL,-3
America/Montevideo,CONMEBOL,-3
America/Noronha,CONMEBOL,-2
Atlantic/Cape_Verde,CAF,-1
Atlantic/Azores,UEFA,-1
Africa/Ouagadougou,CAF,0
Africa/Abidjan,CAF,0
Africa/El_Aaiun,CAF,0
Africa/Accra,CAF,0
Africa/Banjul,CAF,0
Africa/Conakry,CAF,0
Africa/Bissau,CAF,0
Africa/Monrovia,CAF,0
Africa/Casablanca,CAF,0
Africa/Bamako,CAF,0
Africa/Nouakchott,CAF,0
Africa/Freetown,CAF,0
Africa/Dakar,CAF,0
Africa/Sao_Tome,CAF,0
Africa/Lome,CAF,0
Atlantic/Canary,UEFA,0
Atlantic/Faroe,UEFA,0
Europe/London,UEFA,0
Europe/Guernsey,UEFA,0
Europe/Dublin,UEFA,0
Atlantic/Reykjavik,UEFA,0
Europe/Lisbon,UEFA,0
Atlantic/Madeira,UEFA,0
Africa/Luanda,CAF,1
Africa/Porto-Novo,CAF,1
Africa/Kinshasa,CAF,1
Africa/Bangui,CAF,1
Africa/Brazzaville,CAF,1
Africa/Douala,CAF,1
Africa/Algiers,CAF,1
Africa/Ceuta,CAF,1
Africa/Libreville,CAF,1
Africa/Malabo,CAF,1
Africa/Windhoek,CAF,1
Africa/Niamey,CAF,1
Africa/Lagos,CAF,1
Africa/Ndjamena,CAF,1
Africa/Tunis,CAF,1
Europe/Andorra,UEFA,1
Europe/Tirane,UEFA,1
Europe/Vienna,UEFA,1
Europe/Sarajevo,UEFA,1
Europe/Brussels,UEFA,1
Europe/Zurich,UEFA,1
Europe/Prague,UEFA,1
Europe/Berlin,UEFA,1
Europe/Copenhagen,UEFA,1
Europe/Madrid,UEFA,1
Europe/Paris,UEFA,1
Europe/Gibraltar,UEFA,1
Europe/Zagreb,UEFA,1
Europe/Budapest,UEFA,1
Europe/Rome,UEFA,1
Europe/Vaduz,UEFA,1
Europe/Luxembourg,UEFA,1
Europe/Monaco,UEFA,1
Europe/Podgorica,UEFA,1
Europe/Skopje,UEFA,1
Europe/Malta,UEFA,1
Europe/Amsterdam,UEFA,1
Europe/Oslo,UEFA,1
Europe/Warsaw,UEFA,1
Europe/Belgrade,UEFA,1
Europe/Stockholm,UEFA,1
Europe/Ljubljana,UEFA,1
Europe/Bratislava,UEFA,1
Europe/San_Marino,UEFA,1
Asia/Amman,AFC,2
Asia/Beirut,AFC,2
Asia/Gaza,AFC,2
Asia/Damascus,AFC,2
Africa/Bujumbura,CAF,2
Africa/Gaborone,CAF,2
Africa/Lubumbashi,CAF,2
Africa/Cairo,CAF,2
Africa/Maseru,CAF,2
Africa/Tripoli,CAF,2
Africa/Blantyre,CAF,2
Africa/Maputo,CAF,2
Africa/Kigali,CAF,2
Africa/Mbabane,CAF,2
Africa/Johannesburg,CAF,2
Africa/Lusaka,CAF,2
Africa/Harare,CAF,2
Europe/Mariehamn,UEFA,2
Europe/Sofia,UEFA,2
Europe/Minsk,UEFA,2
Asia/Nicosia,UEFA,2
Europe/Tallinn,UEFA,2
Europe/Helsinki,UEFA,2
Europe/Athens,UEFA,2
Asia/Jerusalem,UEFA,2
Europe/Vilnius,UEFA,2
Europe/Riga,UEFA,2
Europe/Chisinau,UEFA,2
Europe/Bucharest,UEFA,2
Europe/Istanbul,UEFA,2
Europe/Kiev,UEFA,2
Europe/Uzhgorod,UEFA,2
Europe/Zaporozhye,UEFA,2
Europe/Simferopol,UEFA,2
Asia/Bahrain,AFC,3
Asia/Baghdad,AFC,3
Asia/Kuwait,AFC,3
Asia/Qatar,AFC,3
Asia/Riyadh,AFC,3
Asia/Aden,AFC,3
Indian/Mayotte,AFC,3
Africa/Djibouti,CAF,3
Africa/Asmara,CAF,3
Africa/Addis_Ababa,CAF,3
Africa/Nairobi,CAF,3
Indian/Comoro,CAF,3
Indian/Antananarivo,CAF,3
Africa/Khartoum,CAF,3
Africa/Mogadishu,CAF,3
Africa/Dar_es_Salaam,CAF,3
Africa/Kampala,CAF,3
Europe/Kaliningrad,UEFA,3
Asia/Tehran,AFC,3.5
Asia/Dubai,AFC,4
Asia/Muscat,AFC,4
Indian/Reunion,AFC,4
Indian/Mahe,AFC,4
Indian/Mauritius,CAF,4
Asia/Yerevan,UEFA,4
Asia/Baku,UEFA,4
Asia/Tbilisi,UEFA,4
Europe/Moscow,UEFA,4
Europe/Volgograd,UEFA,4
Europe/Samara,UEFA,4
Asia/Kabul,AFC,4.5
Asia/Aqtobe,AFC,5
Asia/Aqtau,AFC,5
Asia/Oral,AFC,5
Indian/Maldives,AFC,5
Indian/Kerguelen,AFC,5
Asia/Dushanbe,AFC,5
Asia/Ashgabat,AFC,5
Asia/Samarkand,AFC,5
Asia/Tashkent,AFC,5
Asia/Kolkata,AFC,5.5
Asia/Colombo,AFC,5.5
Asia/Kathmandu,AFC,5.75
Asia/Dhaka,AFC,6
Asia/Thimphu,AFC,6
Indian/Chagos,AFC,6
Asia/Bishkek,AFC,6
Asia/Almaty,AFC,6
Asia/Qyzylorda,AFC,6
Asia/Karachi,AFC,6
Asia/Yekaterinburg,UEFA,6
Indian/Cocos,AFC,6.5
Asia/Rangoon,AFC,6.5
Indian/Christmas,AFC,7
Asia/Jakarta,AFC,7
Asia/Pontianak,AFC,7
Asia/Phnom_Penh,AFC,7
Asia/Vientiane,AFC,7
Asia/Hovd,AFC,7
Asia/Bangkok,AFC,7
Asia/Ho_Chi_Minh,AFC,7
Asia/Omsk,UEFA,7
Asia/Novosibirsk,UEFA,7
Asia/Novokuznetsk,UEFA,7
Australia/Perth,AFC,8
Asia/Brunei,AFC,8
Asia/Shanghai,AFC,8
Asia/Harbin,AFC,8
Asia/Chongqing,AFC,8
Asia/Urumqi,AFC,8
Asia/Kashgar,AFC,8
Asia/Hong_Kong,AFC,8
Asia/Makassar,AFC,8
Asia/Ulaanbaatar,AFC,8
Asia/Choibalsan,AFC,8
Asia/Macau,AFC,8
Asia/Kuala_Lumpur,AFC,8
Asia/Kuching,AFC,8
Asia/Manila,AFC,8
Asia/Singapore,AFC,8
Asia/Taipei,AFC,8
Asia/Krasnoyarsk,UEFA,8
Australia/Eucla,AFC,8.75
Asia/Jayapura,AFC,9
Asia/Tokyo,AFC,9
Asia/Pyongyang,AFC,9
Asia/Seoul,AFC,9
Asia/Dili,AFC,9
Pacific/Palau,OFC,9
Asia/Irkutsk,UEFA,9
Australia/Broken_Hill,AFC,9.5
Australia/Adelaide,AFC,9.5
Australia/Darwin,AFC,9.5
Australia/Hobart,AFC,10
Australia/Currie,AFC,10
Australia/Melbourne,AFC,10
Australia/Sydney,AFC,10
Australia/Brisbane,AFC,10
Australia/Lindeman,AFC,10
Pacific/Port_Moresby,AFC,10
Pacific/Truk,OFC,10
Pacific/Guam,OFC,10
Pacific/Saipan,OFC,10
Asia/Yakutsk,UEFA,10
Australia/Lord_Howe,AFC,10.5
Pacific/Ponape,OFC,11
Pacific/Kosrae,OFC,11
Pacific/Noumea,OFC,11
Pacific/Guadalcanal,OFC,11
Pacific/Efate,OFC,11
Asia/Vladivostok,UEFA,11
Asia/Sakhalin,UEFA,11
Pacific/Fiji,OFC,12
Pacific/Tarawa,OFC,12
Pacific/Majuro,OFC,12
Pacific/Kwajalein,OFC,12
Pacific/Nauru,OFC,12
Pacific/Auckland,OFC,12
Pacific/Funafuti,OFC,12
Pacific/Wake,OFC,12
Pacific/Wallis,OFC,12
Asia/Magadan,UEFA,12
Asia/Kamchatka,UEFA,12
Asia/Anadyr,UEFA,12
Pacific/Chatham,OFC,12.75
Pacific/Enderbury,OFC,13
Pacific/Tongatapu,OFC,13
Pacific/Kiritimati,OFC,14
